wkt_geom,buurtcode,buurtnaam,wijkcode,gemeenteco,gemeentena,indelingsw,water,meestVoork,dekkingspe,omgevingsa,stedelijkh,bevolkings,aantalInwo,mannen,vrouwen,percentage,percenta_1,percenta_2,percenta_3,percenta_4,percenta_5,percenta_6,percenta_7,percenta_8,aantalHuis,percenta_9,percenta10,percenta11,gemiddelde,percenta12,percenta13,percenta14,percenta15,percGebInN,percGebI_1,percGebBui,percGebB_1,oppervlakt,oppervla_1,oppervla_2,jrstatcode,jaar,fuuid
"MultiPolygon (((5.07734173392187405 51.57621797356303972, 5.07940850155222812 51.57380469456552419, 5.07277491926927038 51.57218761851068223, 5.07383782546579187 51.57632693808099589, 5.07734173392187405 51.57621797356303972, 5.07734173392187405 51.57621797356303972)))",BU08552302,Textielbuurt Oost,WK085523,GM0855,Tilburg,1,NEE,5046,1,3497,1,9793,1255,655,600,14,16,34,24,12,62,26,7,4,660,50,23,27,1.9,56,20,24,56,4,10,16,13,13,13,0,2023BU08552302,2023,buurten.977e5741-e29e-4ed8-8d7d-478b1f3fbd2f
"MultiPolygon (((5.06738706984298304 51.57497449264015188, 5.06819726658793002 51.56834728847108806, 5.06575729596187685 51.56625926663260628, 5.06738706984298304 51.57497449264015188, 5.06738706984298304 51.57497449264015188)))",BU08552303,Nassaubuurt,WK085523,GM0855,Tilburg,1,NEE,5046,1,3661,1,7776,1325,720,605,13,16,37,23,10,66,23,8,3,760,58,19,23,1.7,56,15,30,56,4,11,11,18,17,17,0,2023BU08552303,2023,buurten.284dfb64-64b2-41bc-9eb1-759f5e9f2f3f
"MultiPolygon (((5.06969951979013267 51.57366053144203732, 5.07419109746725283 51.56866343565479838, 5.06936522992615846 51.56681590785181868, 5.06969951979013267 51.57366053144203732, 5.06969951979013267 51.57366053144203732)))",BU08552304,Kasteel West,WK085523,GM0855,Tilburg,1,NEE,5046,1,3936,1,9686,2080,1035,1040,16,14,35,26,10,64,23,10,2,1140,54,20,26,1.8,62,12,25,62,4,11,9,14,21,21,0,2023BU08552304,2023,buurten.eda8a2aa-e315-4908-9648-e6aa9048f4d4
"MultiPolygon (((5.07968211287087712 51.5736200324900409, 5.07559839030790005 51.56792874921618619, 5.07315152725476803 51.57183364172615114, 5.07968211287087712 51.5736200324900409, 5.07968211287087712 51.5736200324900409)))",BU08552305,Kasteel Oost,WK085523,GM0855,Tilburg,1,NEE,5046,1,4258,1,6454,1145,590,555,10,17,30,27,16,58,30,8,4,625,54,24,22,1.8,67,16,17,67,3,7,13,10,18,18,0,2023BU08552305,2023,buurten.02bcd60c-fa10-49ee-a887-86e69c2322f1
"MultiPolygon (((5.08602256644059469 51.57678251956085091, 5.0802474053397253 51.57283636835889951, 5.07732294539458007 51.5764746484149228, 5.08602256644059469 51.57678251956085091, 5.08602256644059469 51.57678251956085091)))",BU08552401,Goirke Noord,WK085524,GM0855,Tilburg,1,NEE,5046,1,3596,1,9999,1190,635,560,10,12,40,22,17,63,24,8,6,720,58,25,16,1.6,61,18,21,61,4,10,14,11,12,12,0,2023BU08552401,2023,buurten.3dd5ae2f-d8eb-40a3-aed0-d05d3449f4ca
"MultiPolygon (((5.08348023880148059 51.57528010997625501, 5.08249935787475859 51.56748603082690607, 5.07559839030790005 51.56792874921618619, 5.08348023880148059 51.57528010997625501, 5.08348023880148059 51.57528010997625501)))",BU08552402,Pastorieklamp West,WK085524,GM0855,Tilburg,1,NEE,5046,1,4538,1,8903,2330,1210,1120,10,19,33,23,15,65,24,8,4,1410,59,23,18,1.6,66,16,18,66,4,7,12,11,26,26,0,2023BU08552402,2023,buurten.96af0f99-9caf-44a7-9e50-725988adf005
"MultiPolygon (((5.0843380858180689 51.57332255881168237, 5.08659210829436947 51.5685033598003173, 5.08249935787475859 51.56748603082690607, 5.0843380858180689 51.57332255881168237, 5.0843380858180689 51.57332255881168237)))",BU08552403,Pastorieklamp Oost,WK085524,GM0855,Tilburg,1,NEE,5046,3,4521,1,11571,1135,595,540,12,19,34,25,10,65,27,6,2,615,55,21,24,1.8,67,18,14,67,4,6,15,8,10,10,0,2023BU08552403,2023,buurten.6af2b4e0-5eef-4d24-aa38-f148bc6eec26
"MultiPolygon (((5.08506078874304013 51.57575785096130261, 5.09042287554703599 51.57159563675236313, 5.08659210829436947 51.5685033598003173, 5.08345575144113138 51.57530058543258633, 5.08506078874304013 51.57575785096130261, 5.08506078874304013 51.57575785096130261)))",BU08552501,Sint Pieterspark,WK085525,GM0855,Tilburg,1,NEE,5014,4,3966,1,11051,2305,1160,1145,18,13,38,21,10,62,27,8,2,1150,46,24,30,2,65,13,22,65,4,12,10,10,21,21,0,2023BU08552501,2023,buurten.759d7c1a-cf9a-46de-acbe-0bcbd3332714
"MultiPolygon (((5.08607003575164818 51.57677703286937998, 5.09348865189083 51.57297700186754952, 5.08988605241992875 51.57222420634408167, 5.08607003575164818 51.57677703286937998, 5.08607003575164818 51.57677703286937998)))",BU08552502,Hoefstraat Noord,WK085525,GM0855,Tilburg,1,NEE,5014,4,3574,1,10773,1355,705,655,13,14,38,23,11,64,26,8,2,760,53,23,24,1.8,60,18,22,60,4,10,14,12,13,13,0,2023BU08552502,2023,buurten.d599d1e2-9a67-4ca5-91a9-63f6b6c04931
"MultiPolygon (((5.09054234984431808 51.57144816658372832, 5.0944567233535567 51.56739494779066746, 5.08574685197548515 51.56802515443656176, 5.09054234984431808 51.57144816658372832, 5.09054234984431808 51.57144816658372832)))",BU08552503,Padua,WK085525,GM0855,Tilburg,1,NEE,5014,1,4203,1,11571,1500,715,780,6,18,27,21,27,54,26,9,11,850,59,26,15,1.6,70,16,14,70,4,4,12,10,13,13,0,2023BU08552503,2023,buurten.8c3ac955-ca57-4b20-93c4-396b14e78117
"MultiPolygon (((5.09357946012512031 51.57289386922498409, 5.09830385389856922 51.5685531818172862, 5.0944567233535567 51.56739494779066746, 5.08988605241992875 51.57222420634408167, 5.09357946012512031 51.57289386922498409, 5.09357946012512031 51.57289386922498409)))",BU08552504,Hoefstraat Zuid,WK085525,GM0855,Tilburg,1,NEE,5014,1,3231,1,11452,1990,1040,950,14,16,39,23,8,66,26,7,2,1070,50,25,24,1.9,67,15,17,67,3,9,13,8,17,17,0,2023BU08552504,2023,buurten.adf1737e-7e28-434b-aa8d-874f4f7a47f9
"MultiPolygon (((5.08843233056639832 51.56750449313228302, 5.09504324622022153 51.56599663993551985, 5.09240463677182742 51.5609342461310689, 5.08843233056639832 51.56750449313228302, 5.08843233056639832 51.56750449313228302)))",BU08552601,Besterd,WK085526,GM0855,Tilburg,1,NEE,5014,1,4126,1,9571,1675,875,805,6,26,37,20,10,71,20,6,3,1090,63,26,11,1.5,69,19,12,69,4,6,14,7,18,18,0,2023BU08552601,2023,buurten.f0192834-75de-4287-ae26-650a944ebbcd
"MultiPolygon (((5.09871167863220975 51.56810781257353682, 5.10044176730777377 51.56570001029500361, 5.09470876772621839 51.5673813583825762, 5.09871167863220975 51.56810781257353682, 5.09871167863220975 51.56810781257353682)))",BU08552602,Rosmolen,WK085526,GM0855,Tilburg,1,NEE,5014,1,3320,1,1776,135,65,70,9,15,26,19,31,55,35,7,3,85,49,35,16,1.7,73,16,11,73,4,6,12,4,8,8,0,2023BU08552602,2023,buurten.c2e0e807-a385-4ffc-8af2-9428769b6be1
"MultiPolygon (((5.09528453554302274 51.56685867813556001, 5.10044176730777377 51.56570001029500361, 5.09240463677182742 51.5609342461310689, 5.09528453554302274 51.56685867813556001, 5.09528453554302274 51.56685867813556001)))",BU08552603,Loven Noord,WK085526,GM0855,Tilburg,1,NEE,5014,1,3698,1,11576,1415,730,685,8,22,36,20,15,67,22,8,2,900,62,25,13,1.6,68,19,13,68,3,6,15,7,12,12,0,2023BU08552603,2023,buurten.2683ac19-e56c-4439-91b1-08cbca1957e5
"MultiPolygon (((5.09816423646177519 51.56308115305161266, 5.10062185046545746 51.56065389416797728, 5.09152212525651304 51.5598997525546423, 5.09816423646177519 51.56308115305161266, 5.09816423646177519 51.56308115305161266)))",BU08552604,Loven Zuid,WK085526,GM0855,Tilburg,1,NEE,5014,1,4183,1,9187,1325,655,670,10,21,35,20,14,67,21,9,3,800,58,23,19,1.7,67,15,18,67,4,6,11,11,14,14,0,2023BU08552604,2023,buurten.67aef6e6-432c-4ae3-80d1-e8eb0cbbf258
"MultiPolygon (((5.10057876236824637 51.56540131195884413, 5.10355370580265078 51.56123035609150662, 5.10062185046545746 51.56065389416797728, 5.09760495954693837 51.56390057654921577, 5.10057876236824637 51.56540131195884413, 5.10057876236824637 51.56540131195884413)))",BU08552605,Loven Oost,WK085526,GM0855,Tilburg,1,NEE,5014,1,2701,1,10166,1200,645,550,9,19,38,21,14,66,25,6,3,715,60,23,17,1.7,70,18,13,70,3,6,15,7,12,12,0,2023BU08552605,2023,buurten.f59ae3c2-d8ad-4776-bca3-ebf6211fe028
"MultiPolygon (((5.08208398898593483 51.56679426916188191, 5.08012024348409685 51.56186531719730937, 5.07747199428653673 51.56191417041389258, 5.07724268635850517 51.56715720058760866, 5.08208398898593483 51.56679426916188191, 5.08208398898593483 51.56679426916188191)))",BU08552701,Theresia West,WK085527,GM0855,Tilburg,1,NEE,5041,1,5411,1,6371,855,410,445,6,26,20,19,30,58,22,8,12,470,67,22,11,1.5,74,14,12,74,3,3,12,9,13,13,0,2023BU08552701,2023,buurten.54e0f18c-0810-49a6-a99f-2233226938a8
"MultiPolygon (((5.08667277789397598 51.56783422763225389, 5.08699420993565798 51.5618400115574218, 5.08012024348409685 51.56186531719730937, 5.08183124861863966 51.5672030603884437, 5.08667277789397598 51.56783422763225389, 5.08667277789397598 51.56783422763225389)))",BU08552702,Theresia Midden,WK085527,GM0855,Tilburg,1,NEE,5041,1,5218,1,9161,2380,1115,1270,12,13,32,23,21,58,24,10,7,1290,56,23,21,1.8,76,11,14,76,3,7,7,7,26,26,0,2023BU08552702,2023,buurten.920250aa-848d-4724-b1a0-d6afae59962e
"MultiPolygon (((5.08681935518376172 51.56781550332749475, 5.09177588372156364 51.56164551318067879, 5.08699420993565798 51.5618400115574218, 5.08681935518376172 51.56781550332749475, 5.08681935518376172 51.56781550332749475)))",BU08552703,Theresia Oost,WK085527,GM0855,Tilburg,1,NEE,5041,3,4957,1,8392,1255,640,615,10,20,37,20,13,66,23,7,3,775,61,22,17,1.6,68,16,15,68,4,7,13,8,15,15,0,2023BU08552703,2023,buurten.9ef61850-3344-40ee-a908-1cb27eb6facd
"MultiPolygon (((5.0749256181230491 51.56220754734644629, 5.07745287398734035 51.56201534099481876, 5.07733698136222511 51.56118264867468071, 5.0749256181230491 51.56220754734644629, 5.0749256181230491 51.56220754734644629)))",BU08552801,Spoorzone Noord-West,WK085528,GM0855,Tilburg,1,NEE,5041,1,4837,1,20609,355,190,160,2,20,70,4,5,85,10,5,0,235,54,41,5,1.5,63,18,19,63,4,10,14,9,2,2,0,2023BU08552801,2023,buurten.a0176e85-2c02-4a49-84d9-c27c21b4fe2d
"MultiPolygon (((5.08502489732992302 51.56201041581797284, 5.09177588372156364 51.56164551318067879, 5.09152212525651304 51.5598997525546423, 5.07733698136222511 51.56118264867468071, 5.08502489732992302 51.56201041581797284, 5.08502489732992302 51.56201041581797284)))",BU08552802,Spoorzone Noord-Oost,WK085528,GM0855,Tilburg,1,NEE,5041,1,5404,1,1975,280,175,110,2,30,54,12,2,87,9,4,0,135,45,54,1,1.6,69,7,24,69,2,15,4,10,14,14,0,2023BU08552802,2023,buurten.948c9728-ac08-4fb3-94b2-efbd109e7a99
"MultiPolygon (((5.06631299965141402 51.57863336358028761, 5.07265745660280754 51.57797781504002188, 5.07222876764086372 51.57616520694021744, 5.06630354461646171 51.5755598587892834, 5.06631299965141402 51.57863336358028761, 5.06631299965141402 51.57863336358028761)))",BU08552901,Smariusterrein,WK085529,GM0855,Tilburg,1,NEE,5046,1,2777,1,-99999999,0,0,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,12,11,1,2023BU08552901,2023,buurten.0b21430e-3cdd-4b6a-90d6-c42ac201c77f
"MultiPolygon (((5.08766727229663562 51.57885962176376893, 5.08516958969803046 51.57688107377392583, 5.07222876764086372 51.57616520694021744, 5.07265745660280754 51.57797781504002188, 5.08766727229663562 51.57885962176376893, 5.08766727229663562 51.57885962176376893)))",BU08552902,Ind.terrein Kanaalzone Noord,WK085529,GM0855,Tilburg,1,NEE,5046,1,3252,1,419,100,55,45,6,18,37,28,11,59,26,10,5,55,56,22,22,1.7,69,20,12,69,3,8,17,4,27,24,2,2023BU08552902,2023,buurten.33773e97-93a7-4c4b-b6a6-1a92d3752eaa
"MultiPolygon (((5.09161345544099309 51.57775209424024609, 5.09654909283418078 51.57419781666906999, 5.09357946012512031 51.57289386922498409, 5.08841011054234293 51.57606552487102647, 5.09161345544099309 51.57775209424024609, 5.09161345544099309 51.57775209424024609)))",BU08552903,Ind.terrein Kanaalzone Noord-Oost,WK085529,GM0855,Tilburg,1,NEE,5013,1,2879,1,298,40,25,15,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,20,67,17,17,1.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,14,14,0,2023BU08552903,2023,buurten.b23b8815-bba2-42ac-a2da-1ba3ec2a9979
"MultiPolygon (((5.10076767678240373 51.57072232206409979, 5.09648801652783234 51.57024062322919633, 5.09357946012512031 51.57289386922498409, 5.09654909283418078 51.57419781666906999, 5.10076767678240373 51.57072232206409979, 5.10076767678240373 51.57072232206409979)))",BU08552904,Melis Stokestraat,WK085529,GM0855,Tilburg,1,NEE,5013,1,2848,1,4651,465,245,225,12,20,27,28,13,60,30,7,3,240,46,22,31,2,54,16,29,54,4,13,12,16,11,10,1,2023BU08552904,2023,buurten.e2be2207-b5ac-4c59-9f29-6c9ae3e35731
"MultiPolygon (((5.10309672334892817 51.56878831737923008, 5.10643341652408278 51.56590900837104385, 5.10145127644691154 51.56421147212435585, 5.09648801652783234 51.57024062322919633, 5.10309672334892817 51.56878831737923008, 5.10309672334892817 51.56878831737923008)))",BU08552905,Ind.terrein Kanaalzone Oost,WK085529,GM0855,Tilburg,1,NEE,5013,1,2404,2,354,80,50,30,6,25,42,22,5,73,24,3,0,55,77,16,7,1.4,56,24,20,56,3,8,22,13,23,22,1,2023BU08552905,2023,buurten.9c1a9a4d-79ea-46e2-8d38-c62dbeeee737
