buurtcode,gasCV,gasBlock,ehp,hhp,dh,hasDHgrid
BU00344304,0.0,0.0,0.0,0.0,0.0,false
BU00344401,0.98,0.0,0.01,0.01,0.0,false
BU00344402,0.99,0.0,0.0,0.0,0.0,false
BU00344403,0.0,0.0,0.0,0.0,0.0,false
BU00344501,0.98,0.0,0.01,0.01,0.0,false
BU00344502,0.93,0.0,0.06,0.01,0.0,false
BU00344503,1.0,0.0,0.0,0.0,0.0,false
BU00344504,0.0,0.0,0.0,0.0,0.0,false
BU00344505,0.0,0.0,0.0,0.0,0.0,false
BU00344601,0.98,0.0,0.02,0.01,0.0,false
BU00344602,0.98,0.0,0.01,0.01,0.0,false
BU00344603,0.97,0.0,0.0,0.02,0.0,false
BU00344701,0.99,0.0,0.0,0.01,0.0,false
BU00344702,0.98,0.0,0.01,0.01,0.0,false
BU00344703,0.98,0.0,0.0,0.01,0.0,false
BU00344704,0.0,0.0,0.0,0.0,0.0,false
BU00344801,1.0,0.0,0.0,0.0,0.0,false
BU00344802,0.99,0.0,0.0,0.01,0.0,false
BU00344803,0.99,0.0,0.0,0.01,0.0,false
BU00344804,0.99,0.0,0.0,0.0,0.0,false
BU00344901,0.99,0.0,0.01,0.0,0.0,false
BU00344902,0.99,0.0,0.0,0.0,0.0,false
BU00344903,0.97,0.0,0.0,0.02,0.0,false
BU00344904,0.0,0.0,0.0,0.0,0.0,false
BU00345001,0.98,0.0,0.01,0.01,0.0,false
BU00345002,0.91,0.08,0.0,0.0,0.0,false
BU00345101,0.95,0.0,0.01,0.01,0.04,true
BU00345102,0.96,0.0,0.02,0.03,0.0,false
BU00345103,0.93,0.0,0.06,0.01,0.0,false
BU00345104,0.98,0.0,0.0,0.01,0.0,false
BU00345105,0.0,0.0,0.0,0.0,0.0,false
BU00345201,0.98,0.0,0.01,0.01,0.0,false
BU00345202,0.89,0.0,0.01,0.09,0.0,false
BU00345203,0.98,0.0,0.0,0.01,0.0,false
BU00345204,0.59,0.0,0.4,0.02,0.0,false
BU00345205,0.98,0.0,0.0,0.01,0.0,false
BU00345206,0.96,0.0,0.02,0.02,0.0,false
BU00345207,0.0,0.0,0.0,0.0,0.0,false
BU00345301,0.95,0.0,0.02,0.03,0.0,false
BU00345302,0.0,0.0,0.0,0.0,0.0,false
BU00345601,0.0,0.0,0.0,0.0,0.0,false
BU00345602,0.0,0.0,0.0,0.0,0.0,false
BU00345701,0.0,0.0,0.0,0.0,0.0,false
BU00345702,0.0,0.0,0.0,0.0,0.0,false
BU00345801,0.0,0.0,0.0,0.0,0.0,false
BU00345901,0.0,0.0,0.0,0.0,0.0,false
BU00345902,0.0,0.0,0.0,0.0,0.0,false
BU00346001,0.0,0.0,0.0,0.0,0.0,false
BU00346101,0.02,0.0,0.03,0.0,0.95,true
BU00346102,0.0,0.0,0.01,0.0,0.99,true
BU00346103,0.0,0.0,0.01,0.0,0.99,true
BU00346201,0.0,0.0,0.05,0.0,0.95,true
BU00346202,0.0,0.0,0.07,0.0,0.93,true
BU00346301,0.0,0.0,0.08,0.0,0.92,true
BU00346302,0.0,0.0,0.09,0.0,0.91,true
BU00346303,0.0,0.0,0.11,0.0,0.89,true
BU00346304,0.0,0.0,0.07,0.0,0.93,true
BU00346401,0.0,0.0,0.0,0.0,0.0,false
BU00346501,0.0,0.0,0.05,0.0,0.95,true
BU00346601,0.0,0.0,0.11,0.0,0.89,true
BU00346602,0.0,0.0,0.04,0.0,0.95,true
BU00347101,0.0,0.0,0.0,0.0,0.0,false
BU00347201,0.0,0.0,0.0,0.0,0.0,false
BU00347301,0.0,0.0,0.0,0.0,0.0,false
BU00347401,0.0,0.0,0.0,0.0,0.0,false
BU00347402,0.0,0.0,0.0,0.0,0.0,false
BU00347501,0.96,0.0,0.01,0.03,0.0,false
BU00347502,0.79,0.0,0.17,0.02,0.0,false
BU00347503,0.0,0.0,0.0,0.0,0.0,false
BU00347504,0.0,0.0,0.0,0.0,0.0,false
BU00347601,0.33,0.0,0.65,0.0,0.0,false
BU00347602,0.0,0.0,0.0,0.0,0.0,false
BU00347603,0.9,0.0,0.07,0.02,0.0,false
BU00347604,0.0,0.0,0.0,0.0,0.0,false
BU00347701,0.12,0.0,0.83,0.0,0.0,false
BU00347702,0.02,0.0,0.9,0.0,0.0,false
BU00347703,0.0,0.0,0.0,0.0,0.0,false
BU00347901,0.0,0.0,0.0,0.0,0.0,false
BU00348501,0.0,0.0,0.0,0.0,0.0,false
BU00348502,0.0,0.0,0.0,0.0,0.0,false
BU00349615,0.0,0.0,0.0,0.0,0.0,false
BU00370100,0.86,0.09,0.01,0.01,0.0,false
BU00370101,0.98,0.0,0.02,0.0,0.0,false
BU00370102,0.69,0.02,0.14,0.01,0.0,false
BU00370103,0.98,0.01,0.0,0.01,0.0,false
BU00370104,0.88,0.11,0.0,0.01,0.0,false
BU00370105,0.97,0.0,0.01,0.02,0.0,false
BU00370106,0.95,0.0,0.02,0.0,0.0,false
BU00370107,0.95,0.0,0.0,0.04,0.0,false
BU00370108,0.89,0.01,0.01,0.01,0.0,false
BU00370109,0.93,0.0,0.04,0.02,0.0,false
BU00370110,0.92,0.03,0.02,0.02,0.0,false
BU00370111,0.93,0.0,0.04,0.04,0.0,false
BU00370112,0.91,0.0,0.04,0.04,0.0,false
BU00370200,0.91,0.04,0.02,0.01,0.0,false
BU00370201,0.88,0.08,0.01,0.02,0.0,false
BU00370202,0.92,0.0,0.04,0.03,0.0,false
BU00370203,0.96,0.0,0.02,0.01,0.0,false
BU00370300,0.9,0.02,0.02,0.03,0.0,false
BU00370301,0.0,0.0,0.0,0.0,0.0,false
BU00370308,0.93,0.0,0.02,0.05,0.0,false
BU00370309,0.9,0.0,0.04,0.04,0.0,false
BU00370400,0.91,0.01,0.02,0.05,0.0,false
BU00370401,0.0,0.0,0.0,0.0,0.0,false
BU00370402,0.96,0.0,0.04,0.01,0.0,false
BU00370409,0.0,0.0,0.0,0.0,0.0,false
BU00370500,0.95,0.0,0.03,0.02,0.0,false
BU00370509,0.92,0.0,0.06,0.01,0.0,false
BU00470000,0.86,0.11,0.01,0.01,0.0,false
BU00470001,0.98,0.0,0.0,0.02,0.0,false
BU00470002,0.96,0.0,0.03,0.01,0.0,false
BU00470003,0.94,0.0,0.05,0.0,0.0,false
BU00470004,0.86,0.12,0.0,0.01,0.0,false
BU00470005,0.91,0.07,0.01,0.01,0.0,false
BU00470006,0.0,0.0,0.0,0.0,0.0,false
BU00470007,0.92,0.0,0.04,0.03,0.0,false
BU00470100,0.96,0.0,0.02,0.02,0.0,false
BU00470101,0.97,0.0,0.01,0.01,0.0,false
BU00470102,0.94,0.0,0.02,0.04,0.0,false
BU00470109,0.0,0.0,0.0,0.0,0.0,false
BU00470200,0.93,0.03,0.02,0.01,0.0,false
BU00470201,0.94,0.0,0.04,0.01,0.0,false
BU00470202,0.76,0.0,0.09,0.02,0.0,false
BU00470203,0.0,0.0,0.0,0.0,0.0,false
BU00470209,0.92,0.0,0.03,0.03,0.0,false
BU00500000,0.92,0.01,0.07,0.01,0.0,false
BU00500001,0.98,0.0,0.01,0.01,0.0,false
BU00500002,0.96,0.0,0.0,0.02,0.0,false
BU00500003,0.94,0.0,0.02,0.01,0.0,false
BU00500004,0.0,0.0,0.1,0.0,0.9,true
BU00500005,0.0,0.0,0.0,0.0,0.0,false
BU00500006,0.75,0.0,0.05,0.02,0.0,false
BU00500007,0.95,0.0,0.01,0.02,0.0,false
BU00500008,0.0,0.0,0.0,0.0,0.0,false
BU00500009,0.0,0.0,0.0,0.0,0.0,false
BU00500010,0.0,0.0,0.0,0.0,0.0,false
BU00590000,0.9,0.05,0.02,0.01,0.0,false
BU00590001,0.96,0.0,0.01,0.01,0.0,false
BU00590002,0.98,0.0,0.01,0.01,0.0,false
BU00590003,0.97,0.0,0.01,0.01,0.0,false
BU00590004,0.97,0.0,0.01,0.01,0.0,false
BU00590005,0.84,0.0,0.07,0.04,0.0,false
BU00590006,0.0,0.0,0.0,0.0,0.0,false
BU00590007,0.87,0.0,0.04,0.01,0.0,false
BU00590008,0.0,0.0,0.0,0.0,0.0,false
BU00590009,0.0,0.0,0.0,0.0,0.0,false
BU00590100,0.0,0.0,0.0,0.0,0.0,false
BU00590102,0.89,0.0,0.04,0.02,0.0,false
BU00590103,0.97,0.0,0.01,0.01,0.0,false
BU00590107,0.0,0.0,0.0,0.0,0.0,false
BU00590108,0.0,0.0,0.0,0.0,0.0,false
BU00590109,0.0,0.0,0.0,0.0,0.0,false
BU00590200,0.91,0.06,0.01,0.01,0.0,false
BU00590201,0.94,0.02,0.03,0.01,0.0,false
BU00590202,0.97,0.0,0.02,0.02,0.0,false
BU00590203,0.97,0.0,0.02,0.01,0.0,false
BU00590206,0.89,0.0,0.07,0.0,0.0,false
BU00590207,0.0,0.0,0.0,0.0,0.0,false
BU00590208,0.94,0.0,0.02,0.03,0.0,false
BU00590209,0.86,0.0,0.08,0.03,0.0,false
BU00600000,0.86,0.01,0.02,0.07,0.0,false
BU00600001,0.8,0.0,0.05,0.09,0.0,false
BU00600002,0.83,0.0,0.04,0.09,0.0,false
BU00600003,0.81,0.06,0.03,0.07,0.0,false
BU00600007,0.0,0.0,0.0,0.0,0.0,false
BU00600008,0.0,0.0,0.0,0.0,0.0,false
BU00600009,0.0,0.0,0.0,0.0,0.0,false
BU00720001,0.6,0.36,0.01,0.01,0.0,false
BU00720002,0.98,0.0,0.01,0.01,0.0,false
BU00720003,0.94,0.0,0.04,0.02,0.0,false
BU00720004,0.95,0.0,0.04,0.01,0.0,false
BU00720005,0.92,0.0,0.04,0.01,0.0,false
BU00720006,0.9,0.03,0.02,0.0,0.0,false
BU00720007,0.0,0.0,0.0,0.0,0.0,false
BU00720009,0.0,0.0,0.0,0.0,0.0,false
BU00720100,0.98,0.0,0.01,0.01,0.0,false
